iter	Logloss
0	0.6420096336
1	0.604943523
2	0.5740556532
3	0.5476901331
4	0.5271191792
5	0.5136301026
6	0.4977807951
7	0.4846839932
8	0.4750166563
9	0.4631018567
10	0.4535113951
11	0.4469003794
12	0.4405292042
13	0.4358000985
14	0.4290296279
15	0.4232210643
16	0.419333375
17	0.4155376113
18	0.4127996295
19	0.4059872548
20	0.4023035572
21	0.3997579831
22	0.3968607658
23	0.3943092242
24	0.3913121391
25	0.3895801624
26	0.387573681
27	0.3851241572
28	0.3830606775
29	0.3806349798
30	0.3796036567
31	0.3770703687
32	0.3751346196
33	0.3730289725
34	0.3700880521
35	0.3683178132
36	0.3668641365
37	0.3638582758
38	0.3625983232
39	0.3615778382
40	0.3603616985
41	0.3571307184
42	0.3559550348
43	0.3548303161
44	0.353567314
45	0.3525628447
46	0.3504825156
47	0.3496185018
48	0.3492458407
49	0.348015945
