iter	Passed	Remaining
0	29	1433
1	55	1322
2	86	1360
3	121	1395
4	148	1336
5	175	1287
6	204	1257
7	230	1210
8	263	1201
9	295	1181
10	324	1150
11	342	1083
12	358	1020
13	372	958
14	388	907
15	405	861
16	423	821
17	438	780
18	452	738
19	471	706
20	491	678
21	511	651
22	533	626
23	547	592
24	563	563
25	579	534
26	593	505
27	610	479
28	625	452
29	645	430
30	660	405
31	683	384
32	699	360
33	717	337
34	735	315
35	755	293
36	772	271
37	787	248
38	803	226
39	821	205
40	840	184
41	858	163
42	873	142
43	894	122
44	913	101
45	932	81
46	951	60
47	972	40
48	985	20
49	1000	0
